symptoms,grouped diseases
lower abdominal pain,"{'abdominal hernia': 0.019483128012854848, 'appendicitis': 0.031333690412426354, 'bladder disorder': 0.020018746652383502, 'chlamydia': 0.006159614354579539, 'chronic constipation': 0.03233797536154258, 'cystitis': 0.041041778253883235, 'diverticulitis': 0.04164434922335297, 'diverticulosis': 0.022629887520085698, 'ectopic pregnancy': 0.015532940546331012, 'endometriosis': 0.013658275307980718, 'hydrocele of the testicle': 0.0076325656132833425, 'hydronephrosis': 0.015733797536154257, 'idiopathic absence of menstruation': 0.02236207820032137, 'idiopathic irregular menstrual cycle': 0.030396357793251207, 'idiopathic painful menstruation': 0.02979378682378147, 'ileus': 0.02329941081949652, 'induced abortion': 0.009440278521692555, 'inguinal hernia': 0.015599892876272094, 'irritable bowel syndrome': 0.01747455811462239, 'kidney stone': 0.029659882163899302, 'meckel diverticulum': 0.0002678093197643278, 'missed abortion': 0.012319228709159078, 'mittelschmerz': 0.0020085698982324584, 'osteochondroma': 0.011716657739689341, 'ovarian cyst': 0.01888055704338511, 'ovarian torsion': 0.002544188537761114, 'pain after an operation': 0.03019550080342796, 'pelvic inflammatory disease': 0.03093197643277986, 'preeclampsia': 0.00723085163363685, 'premenstrual tension syndrome': 0.007699517943224424, 'problem during pregnancy': 0.03220407070166042, 'prostatitis': 0.023433315479378682, 'pyelonephritis': 0.030731119442956614, 'spontaneous abortion': 0.04064006427423674, 'temporary or benign blood in urine': 0.03126673808248527, 'threatened pregnancy': 0.031132833422603107, 'trichomonas infection': 0.01138189608998393, 'ulcerative colitis': 0.01272094268880557, 'urethral valves': 0.0015399035886448848, 'urinary tract infection': 0.03026245313336904, 'uterine atony': 0.0076325656132833425, 'uterine fibroids': 0.015198178896625603, 'vaginal cyst': 0.04164434922335297, 'vaginal yeast infection': 0.02055436529191216, 'vaginismus': 0.002811997857525442, 'vaginitis': 0.03334226031065881, 'varicocele of the testicles': 0.023232458489555435, 'vulvodynia': 0.04124263524370648}"
vaginal discharge,"{'atrophic vaginitis': 0.023834351258751676, 'benign vaginal discharge (leukorrhea)': 0.05362729033219127, 'cervical cancer': 0.007746164159094295, 'cervicitis': 0.028601221510502012, 'chlamydia': 0.015939222404290184, 'ectopic pregnancy': 0.03321912706688515, 'female genitalia infection': 0.02055712796067332, 'foreign body in the vagina': 0.0014896469536719798, 'genital herpes': 0.025472962907790855, 'gonorrhea': 0.009682705198867868, 'idiopathic excessive menstruation': 0.06569343065693431, 'idiopathic nonmenstrual bleeding': 0.010874422761805452, 'idiopathic painful menstruation': 0.08937881722031879, 'induced abortion': 0.02130195143750931, 'ovarian cyst': 0.05079696112021451, 'pelvic fistula': 0.00044689408610159393, 'pelvic inflammatory disease': 0.06882168925964546, 'pelvic organ prolapse': 0.03128258602711158, 'syphilis': 0.0035751526888127515, 'threatened pregnancy': 0.06226724266348875, 'trichomonas infection': 0.02428124534485327, 'vaginal cyst': 0.08982571130642038, 'vaginal yeast infection': 0.043795620437956206, 'vaginitis': 0.07001340682258304, 'vulvar disorder': 0.01623715179502458, 'vulvodynia': 0.09340086399523313, 'yeast infection': 0.037837032623268284}"
blood in urine,"{'atrophic vaginitis': 0.038676537241275115, 'benign kidney cyst': 0.017676386161051518, 'benign prostatic hyperplasia (bph)': 0.09321649796041698, 'bladder cancer': 0.010122374981114972, 'bladder disorder': 0.033841970086115725, 'central atherosclerosis': 0.001964042906783502, 'coagulation (bleeding) disorder': 0.010877776099108626, 'cystitis': 0.09261217706602205, 'erectile dysfunction': 0.04698594953920532, 'injury to the abdomen': 0.007100770509140353, 'kidney cancer': 0.007402930956337816, 'kidney stone': 0.06526665659465176, 'overflow incontinence': 0.015410182807070554, 'pelvic organ prolapse': 0.04940323311678501, 'phimosis': 0.005287807825955583, 'polycystic kidney disease': 0.015108022359873092, 'primary kidney disease': 0.002568363801178426, 'prostate cancer': 0.01133101676990482, 'prostatitis': 0.05589968273153044, 'pyelonephritis': 0.06768394017223145, 'stress incontinence': 0.019338268620637557, 'temporary or benign blood in urine': 0.0688925819610213, 'thrombocytopenia': 0.011179936546306089, 'urethral stricture': 0.02266203353980964, 'urethritis': 0.035050611874905574, 'urge incontinence': 0.05091403535277232, 'urinary tract infection': 0.07010122374981115, 'urinary tract obstruction': 0.05574860250793171, 'uterine atony': 0.016467744372261672, 'vesicoureteral reflux': 0.0012086417887898473}"
hot flashes,"{'angina': 0.34108527131782945, 'breast cancer': 0.0016611295681063123, 'endometrial cancer': 0.036544850498338874, 'endometriosis': 0.16777408637873753, 'fibroadenoma': 0.03765227021040975, 'goiter': 0.033776301218161685, 'hormone disorder': 0.027131782945736434, 'hypothyroidism': 0.029346622369878183, 'menopause': 0.03156146179401993, 'pituitary disorder': 0.014950166112956811, 'polycystic ovarian syndrome (pcos)': 0.12292358803986711, 'stress incontinence': 0.11406423034330011, 'vitamin b12 deficiency': 0.033776301218161685, 'vitamin d deficiency': 0.007751937984496124}"
intermenstrual bleeding,"{'cystic fibrosis': 0.0020408163265306124, 'ectopic pregnancy': 0.040188383045525904, 'endometrial cancer': 0.00706436420722135, 'endometriosis': 0.030612244897959183, 'fibrocystic breast disease': 0.0020408163265306124, 'idiopathic excessive menstruation': 0.07158555729984302, 'idiopathic irregular menstrual cycle': 0.07032967032967033, 'idiopathic nonmenstrual bleeding': 0.009576138147566719, 'induced abortion': 0.035478806907378334, 'iron deficiency anemia': 0.07095761381475667, 'missed abortion': 0.031711145996860285, 'ovarian cyst': 0.05368916797488226, 'pelvic inflammatory disease': 0.0728414442700157, 'pelvic organ prolapse': 0.0434850863422292, 'peritonitis': 0.03877551020408163, 'polycystic ovarian syndrome (pcos)': 0.02056514913657771, 'postpartum depression': 0.03940345368916798, 'spontaneous abortion': 0.09544740973312402, 'stress incontinence': 0.028100470957613814, 'threatened pregnancy': 0.07221350078492936, 'uterine atony': 0.018995290423861853, 'uterine fibroids': 0.04756671899529042, 'vaginal cyst': 0.09733124018838304}"
hand or finger pain,"{'brachial neuritis': 0.06665694282380397, 'burn': 0.004667444574095682, 'carpal tunnel syndrome': 0.06534422403733955, 'complex regional pain syndrome': 0.08897316219369895, 'crushing injury': 0.004813302217036173, 'de quervain disease': 0.007001166861143524, 'dislocation of the finger': 0.0014585764294049008, 'dislocation of the wrist': 0.005542590431738623, 'fracture of the finger': 0.0005834305717619603, 'fracture of the hand': 0.008313885647607934, 'ganglion cyst': 0.05032088681446908, 'gout': 0.0854725787631272, 'guillain barre syndrome': 0.007292882147024504, 'injury to the arm': 0.08576429404900816, 'injury to the finger': 0.0005834305717619603, 'injury to the hand': 0.010647607934655776, 'juvenile rheumatoid arthritis': 0.004375729288214702, 'lateral epicondylitis (tennis elbow)': 0.03296382730455076, 'mononeuritis': 0.06534422403733955, 'open wound of the finger': 0.00043757292882147026, 'open wound of the hand': 0.00043757292882147026, 'osteoarthritis': 0.0647607934655776, 'osteochondrosis': 0.012252042007001166, 'osteomyelitis': 0.014877479579929988, 'paronychia': 0.03179696616102684, 'pemphigus': 0.0010210035005834305, 'pyogenic skin infection': 0.0647607934655776, 'raynaud disease': 0.001750291715285881, 'rheumatoid arthritis': 0.04682030338389732, 'sprain or strain': 0.08853558926487748, 'tendinitis': 0.04929988331388565, 'thoracic outlet syndrome': 0.01823220536756126, 'trigger finger (finger disorder)': 0.006855309218203034, 'valley fever': 0.0013127187864644108, 'vitamin a deficiency': 0.0007292882147024504}"
wrist pain,"{'burn': 0.008403361344537815, 'carpal tunnel syndrome': 0.09592129534740726, 'de quervain disease': 0.009838081574093051, 'dengue fever': 0.0006148800983808157, 'dislocation of the elbow': 0.008813281410125025, 'dislocation of the finger': 0.0014347202295552368, 'dislocation of the shoulder': 0.007173601147776184, 'fracture of the arm': 0.04447632711621234, 'fracture of the hand': 0.0116827218692355, 'gas gangrene': 0.00020496003279360525, 'gout': 0.12318097970895675, 'injury to the arm': 0.12338593974175036, 'injury to the hand': 0.014142242262758762, 'injury to the trunk': 0.09161713465874155, 'joint effusion': 0.06989137118261939, 'lateral epicondylitis (tennis elbow)': 0.035868005738880916, 'mononeuritis': 0.07337569174011067, 'open wound of the cheek': 0.00020496003279360525, 'pseudohypoparathyroidism': 0.0020496003279360524, 'rheumatoid arthritis': 0.07112113137938102, 'rocky mountain spotted fever': 0.00020496003279360525, 'sporotrichosis': 0.0006148800983808157, 'sprain or strain': 0.12728018036482885, 'tendinitis': 0.06886657101865136, 'trigger finger (finger disorder)': 0.00942816150850584, 'typhoid fever': 0.00020496003279360525}"
hand or finger swelling,"{'carpal tunnel syndrome': 0.091875, 'crushing injury': 0.009375, 'de quervain disease': 0.009375, 'dislocation of the finger': 0.0016666666666666668, 'envenomation from spider or animal bite': 0.04895833333333333, 'fluid overload': 0.036041666666666666, 'food allergy': 0.04791666666666667, 'fracture of the finger': 0.0010416666666666667, 'fracture of the hand': 0.011666666666666667, 'gout': 0.12708333333333333, 'infection of open wound': 0.007291666666666667, 'injury to the arm': 0.12458333333333334, 'injury to the finger': 0.0008333333333333334, 'injury to the hand': 0.015416666666666667, 'injury to the hip': 0.003125, 'insect bite': 0.094375, 'open wound of the finger': 0.0004166666666666667, 'open wound of the hand': 0.0004166666666666667, 'osteomyelitis': 0.019791666666666666, 'parasitic disease': 0.009583333333333333, 'paronychia': 0.063125, 'pyogenic skin infection': 0.09645833333333333, 'raynaud disease': 0.0022916666666666667, 'rheumatoid arthritis': 0.069375, 'tendinitis': 0.09645833333333333, 'trigger finger (finger disorder)': 0.011458333333333333}"
arm pain,"{'adhesive capsulitis of the shoulder': 0.004733625957483432, 'angina': 0.03915999655736294, 'brachial neuritis': 0.038557535071865046, 'bursitis': 0.052844478870815045, 'carpal tunnel syndrome': 0.038643600998364745, 'cerebral edema': 0.006110680781478613, 'complex regional pain syndrome': 0.053016610723814445, 'de quervain disease': 0.004475428177984336, 'degenerative disc disease': 0.038041139512866855, 'dislocation of the elbow': 0.0037008348394870472, 'dislocation of the shoulder': 0.0031844392804888546, 'dislocation of the wrist': 0.0023237800154918666, 'fibromyalgia': 0.028918151303898788, 'fracture of the arm': 0.020311558653928908, 'fracture of the hand': 0.004991823736982528, 'fracture of the shoulder': 0.007143471899474998, 'heart attack': 0.03976245804286083, 'herniated disk': 0.051295292193820466, 'hidradenitis suppurativa': 0.009036922282468371, 'injury to the arm': 0.052155951458817455, 'injury to the shoulder': 0.020569756433428007, 'lateral epicondylitis (tennis elbow)': 0.015750064549444876, 'lymphangitis': 0.0002581977794990963, 'mononeuritis': 0.029606678715896378, 'muscle spasm': 0.030209140201394268, 'nerve impingement near the shoulder': 0.012049229709957828, 'neuralgia': 0.029262415009897583, 'open wound of the arm': 0.0006024614854978913, 'open wound of the shoulder': 8.606592649969878e-05, 'pain disorder affecting the neck': 0.023065668301919272, 'peripheral nerve disorder': 0.053360874429813236, 'rhabdomyolysis': 0.0008606592649969877, 'rotator cuff injury': 0.004819691883983131, 'sickle cell crisis': 0.042688699543850586, 'spinal stenosis': 0.05318874257681384, 'spondylosis': 0.053016610723814445, 'sprain or strain': 0.053619072209312335, 'tendinitis': 0.031069799466391254, 'thoracic outlet syndrome': 0.010241845253464154, 'thrombophlebitis': 0.021086151992426198, 'torticollis': 0.016180394181943367}"
wrist swelling,"{'burn': 0.011958997722095672, 'carpal tunnel syndrome': 0.13468109339407744, 'de quervain disease': 0.015375854214123007, 'fracture of the arm': 0.06919134396355353, 'fracture of the hand': 0.018507972665148063, 'ganglion cyst': 0.09567198177676538, 'gout': 0.17625284738041003, 'hypothyroidism': 0.018507972665148063, 'injury of the ankle': 0.041287015945330297, 'injury to the arm': 0.1802391799544419, 'injury to the hand': 0.03189066059225513, 'joint effusion': 0.06492027334851937, 'juvenile rheumatoid arthritis': 0.008826879271070615, 'open wound due to trauma': 0.0002847380410022779, 'open wound of the face': 0.0008542141230068337, 'open wound of the jaw': 0.0005694760820045558, 'rheumatoid arthritis': 0.13097949886104784}"
arm stiffness or tightness,"{'birth trauma': 0.004046944556859571, 'bursitis': 0.24726831242411978, 'dislocation of the elbow': 0.02104411169566977, 'dislocation of the shoulder': 0.017806556050182113, 'extrapyramidal effect of drugs': 0.017806556050182113, 'fracture of the arm': 0.08619991906110887, 'fracture of the hand': 0.02792391744233104, 'fracture of the shoulder': 0.03358963982193444, 'hemiplegia': 0.11169566976932416, 'injury to the arm': 0.24686361796843384, 'injury to the shoulder': 0.1084581141238365, 'mastectomy': 0.006475111290975314, 'metabolic disorder': 0.0113314447592068, 'primary immunodeficiency': 0.01254552812626467, 'pyloric stenosis': 0.006070416835289356, 'rotator cuff injury': 0.03439902873330635, 'vitamin d deficiency': 0.006475111290975314}"
arm swelling,"{'abdominal aortic aneurysm': 0.03350350989151244, 'bursitis': 0.19719208679004468, 'cardiac arrest': 0.0778557753669432, 'congenital heart defect': 0.008934269304403318, 'deep vein thrombosis (dvt)': 0.05169112954690491, 'dislocation of the shoulder': 0.01244416081684748, 'envenomation from spider or animal bite': 0.10816847479259732, 'fracture of the arm': 0.06987874920229738, 'hematoma': 0.018506700701978303, 'injury to the arm': 0.1917677089980855, 'kidney failure': 0.046266751754945754, 'osteomyelitis': 0.0389278876834716, 'pancreatic cancer': 0.05169112954690491, 'thrombophlebitis': 0.09317166560306318}"
hand or finger stiffness or tightness,"{'carpal tunnel syndrome': 0.2515269294836202, 'congenital heart defect': 0.018323153803442533, 'crushing injury': 0.019988895058300944, 'dislocation of the finger': 0.006662965019433648, 'fracture of the finger': 0.002220988339811216, 'fracture of the hand': 0.029983342587451417, 'fracture of the vertebra': 0.11771238200999445, 'hypercholesterolemia': 0.002220988339811216, 'injury to the finger': 0.001110494169905608, 'injury to the hand': 0.03609106052193226, 'lateral epicondylitis (tennis elbow)': 0.12826207662409772, 'nerve impingement near the shoulder': 0.1254858411993337, 'open wound of the finger': 0.001110494169905608, 'open wound of the hand': 0.001110494169905608, 'overflow incontinence': 0.09383675735702388, 'rotator cuff injury': 0.05385896724042199, 'systemic lupus erythematosis (sle)': 0.06829539144919489, 'trigger finger (finger disorder)': 0.026651860077734593, 'viral hepatitis': 0.015546918378678512}"
wrist stiffness or tightness,"{'fracture of the arm': 0.7725490196078432, 'fracture of the hand': 0.22745098039215686}"
lip swelling,"{'allergy': 0.07532023911187019, 'atrophic skin condition': 0.04987190435525192, 'broken tooth': 0.02305721605465414, 'cellulitis or abscess of mouth': 0.014517506404782237, 'cold sore': 0.023740392826643895, 'cornea infection': 0.10059777967549104, 'drug poisoning due to medication': 0.02783945345858241, 'food allergy': 0.057557643040136636, 'fracture of the facial bones': 0.058411614005123826, 'gum disease': 0.0730999146029035, 'head injury': 0.017762596071733562, 'hemangioma': 0.07788215200683177, 'insect bite': 0.054995730145175066, 'multiple myeloma': 0.00802732707087959, 'open wound of the jaw': 0.0003415883859948762, 'open wound of the lip': 0.0023911187019641333, 'open wound of the mouth': 0.014175918018787361, 'oral mucosal lesion': 0.05294619982920581, 'osteochondroma': 0.016737830913748933, 'scar': 0.029547395388556788, 'scleroderma': 0.030230572160546542, 'skin cancer': 0.07583262169086251, 'tooth abscess': 0.057386848847139196, 'viral warts': 0.057728437233134075}"
