diseases,grouped symptoms,disease probability
bunion,"{'skin growth': 0.9473684210526316, 'knee pain': 0.5263157894736842, 'foot or toe pain': 0.8421052631578947, 'skin moles': 0.868421052631579, 'foot or toe lump or mass': 0.5263157894736842}",0.1
burn,"{'headache': 0.543859649122807, 'hand or finger pain': 0.5614035087719298, 'wrist pain': 0.7192982456140351, 'wrist swelling': 0.7368421052631579, 'knee pain': 0.543859649122807, 'skin irritation': 0.7719298245614035}",0.02
bursitis,"{'leg pain': 0.4875827814569536, 'hip pain': 0.5124172185430463, 'arm pain': 0.5082781456953642, 'arm stiffness or tightness': 0.5057947019867549, 'arm swelling': 0.5115894039735099, 'knee pain': 0.5182119205298014, 'elbow pain': 0.5074503311258278, 'knee swelling': 0.5008278145695364, 'leg swelling': 0.4875827814569536, 'shoulder pain': 0.4850993377483443, 'shoulder stiffness or tightness': 0.4900662251655629, 'elbow swelling': 0.5306291390728477}",0.01
callus,"{'skin swelling': 0.6471734892787524, 'abnormal appearing skin': 0.4853801169590643, 'skin lesion': 0.5009746588693957, 'acne or pimples': 0.6803118908382066, 'skin growth': 0.5458089668615984, 'foot or toe pain': 0.5107212475633528, 'foot or toe swelling': 0.6471734892787524, 'irregular appearing nails': 0.4990253411306042, 'skin rash': 0.4853801169590643}",0.05
carbon monoxide poisoning,"{'depressive or psychotic symptoms': 0.8636363636363636, 'dizziness': 0.5227272727272727, 'emotional symptoms': 0.7159090909090909, 'vomiting': 0.5227272727272727, 'headache': 0.5795454545454546, 'nausea': 0.5795454545454546}",0.0001
carcinoid syndrome,"{'involuntary urination': 1.0, 'knee lump or mass': 1.0}",0.001
cardiac arrest,"{'shortness of breath': 0.5635838150289018, 'sharp chest pain': 0.5433526011560693, 'palpitations': 0.7167630057803468, 'irregular heartbeat': 0.7109826589595376, 'arm swelling': 0.7052023121387283, 'weakness': 0.5578034682080925, 'decreased heart rate': 0.6734104046242775, 'difficulty breathing': 0.5086705202312138}",0.001
cardiomyopathy,"{'shortness of breath': 0.5305466237942122, 'sharp chest pain': 0.5562700964630225, 'chest tightness': 0.6945337620578779, 'irregular heartbeat': 0.684887459807074, 'peripheral edema': 0.4630225080385852, 'heartburn': 0.5016077170418006, 'decreased heart rate': 0.7427652733118971, 'fatigue': 0.594855305466238}",0.005
carpal tunnel syndrome,"{'hand or finger pain': 0.5, 'wrist pain': 0.5223214285714286, 'hand or finger swelling': 0.4921875, 'arm pain': 0.5011160714285714, 'wrist swelling': 0.5279017857142857, 'hand or finger stiffness or tightness': 0.5055803571428571, 'neck pain': 0.5245535714285714, 'elbow pain': 0.6763392857142857, 'loss of sensation': 0.5245535714285714, 'paresthesia': 0.5167410714285714, 'arm weakness': 0.5011160714285714}",0.05
cat scratch disease,"{'skin swelling': 1.0, 'groin mass': 1.0, 'itchy eyelid': 0.6666666666666666}",0.0005
cataract,"{'diminished vision': 0.457990115321252, 'double vision': 0.7199341021416804, 'symptoms of eye': 0.5238879736408567, 'pain in eye': 0.5041186161449753, 'abnormal movement of eyelid': 0.4876441515650741, 'spots or clouds in vision': 0.4925864909390445, 'lacrimation': 0.5057660626029654, 'itchiness of eye': 0.471169686985173, 'blindness': 0.515650741350906, 'cloudy eye': 0.5057660626029654}",0.5
celiac disease,"{'sharp chest pain': 0.7483443708609272, 'sharp abdominal pain': 0.7152317880794702, 'vomiting': 0.695364238410596, 'nausea': 0.5033112582781457, 'peripheral edema': 0.8079470198675497, 'regurgitation.1': 0.5165562913907285}",0.01
cellulitis or abscess of mouth,"{'sore throat': 0.6376811594202898, 'throat swelling': 0.8985507246376812, 'difficulty in swallowing': 0.4710144927536231, 'lip swelling': 0.6159420289855072, 'toothache': 0.5217391304347826, 'abnormal appearing skin': 0.782608695652174, 'skin growth': 0.572463768115942}",0.01
central atherosclerosis,"{'shortness of breath': 0.7222222222222222, 'irregular heartbeat': 0.9444444444444444, 'blood in urine': 0.7222222222222222, 'fatigue': 0.6666666666666666}",0.05
central retinal artery or vein occlusion,"{'irregular heartbeat': 0.7971014492753623, 'diminished vision': 0.5072463768115942, 'symptoms of eye': 0.7101449275362319, 'pain in eye': 0.5797101449275363, 'foreign body sensation in eye': 0.4782608695652174, 'blindness': 0.5072463768115942}",0.001
cerebral edema,"{'dizziness': 0.903846153846154, 'vomiting': 0.7403846153846154, 'headache': 0.5673076923076923, 'arm pain': 0.6826923076923077, 'neck pain': 0.5673076923076923, 'focal weakness': 0.5192307692307693}",0.001
cerebral palsy,"{'lack of growth': 0.7338129496402878, 'problems with movement': 0.5107913669064749, 'infant feeding problem': 0.8057553956834532, 'blindness': 0.7482014388489209, 'cramps and spasms': 0.5323741007194245, 'seizures': 0.5107913669064749}",0.002
cervical cancer,"{'jaundice': 0.865979381443299, 'vaginal itching': 0.9072164948453608, 'vaginal discharge': 0.5360824742268041, 'pelvic pain': 0.6288659793814433, 'vulvar irritation': 0.5257731958762887, 'heavy menstrual flow': 0.5876288659793815}",0.002
cervical disorder,"{'sharp abdominal pain': 0.7209302325581395, 'vaginal itching': 0.8837209302325582, 'pain during intercourse': 0.7906976744186046, 'pelvic pain': 0.3953488372093023}",0.01
cervicitis,"{'suprapubic pain': 0.4765625, 'sharp abdominal pain': 0.5286458333333334, 'nausea': 0.6692708333333334, 'vaginal itching': 0.6614583333333334, 'painful urination': 0.7083333333333334, 'vaginal discharge': 0.5, 'pain during pregnancy': 0.65625, 'pelvic pain': 0.5286458333333334}",0.05
chalazion,"{'skin growth': 0.4764011799410029, 'diminished vision': 0.6769911504424779, 'symptoms of eye': 0.5, 'pain in eye': 0.504424778761062, 'foreign body sensation in eye': 0.5147492625368731, 'eye redness': 0.5058997050147492, 'lacrimation': 0.5206489675516224, 'mass on eyelid': 0.523598820058997, 'swollen eye': 0.5132743362831859, 'eyelid swelling': 0.6799410029498525}",0.05
chickenpox,"{'cough': 0.8365384615384616, 'pain in testicles': 0.8557692307692307, 'abnormal appearing skin': 0.5, 'fever': 0.5769230769230769, 'itching of skin': 0.5865384615384616, 'skin rash': 0.5576923076923077}",0.15
chlamydia,"{'sharp abdominal pain': 0.6848484848484848, 'vaginal itching': 0.7818181818181819, 'lower abdominal pain': 0.5575757575757576, 'vaginal discharge': 0.6484848484848484, 'pelvic pain': 0.806060606060606, 'vaginal pain': 0.5272727272727272}",0.03
cholecystitis,"{'sharp chest pain': 0.4808970099667774, 'sharp abdominal pain': 0.5149501661129569, 'vomiting': 0.520764119601329, 'nausea': 0.5, 'back pain': 0.5166112956810631, 'burning abdominal pain': 0.5141196013289037, 'side pain': 0.5166112956810631, 'lower body pain': 0.5033222591362126, 'upper abdominal pain': 0.4933554817275747, 'stomach bloating': 0.4775747508305648, 'regurgitation.1': 0.5058139534883721, 'symptoms of the kidneys': 0.5058139534883721}",0.01
choledocholithiasis,"{'sharp chest pain': 0.4988662131519274, 'jaundice': 0.780045351473923, 'sharp abdominal pain': 0.5396825396825397, 'vomiting': 0.5215419501133787, 'nausea': 0.4965986394557823, 'decreased appetite': 0.6802721088435374, 'side pain': 0.5328798185941043, 'upper abdominal pain': 0.473922902494331, 'chills': 0.5192743764172335}",0.005
cholesteatoma,"{'nasal congestion': 1.0, 'diminished hearing': 0.935483870967742, 'pus draining from ear': 0.7741935483870968, 'muscle swelling': 0.5161290322580645}",0.001
chondromalacia of the patella,"{'leg pain': 0.490566037735849, 'knee pain': 0.5660377358490566, 'bones are painful': 0.4716981132075472, 'knee weakness': 0.7924528301886793, 'knee swelling': 0.490566037735849, 'problems with movement': 0.6792452830188679}",0.01
chorioretinitis,"{'diminished vision': 0.5921052631578947, 'double vision': 0.8026315789473685, 'pain in eye': 0.7236842105263158, 'spots or clouds in vision': 0.5526315789473685, 'muscle swelling': 0.8026315789473685}",0.002
chronic back pain,"{'leg pain': 0.4849833147942158, 'hip pain': 0.5116796440489433, 'back pain': 0.5038932146829811, 'neck pain': 0.5094549499443827, 'low back pain': 0.5228031145717463, 'loss of sensation': 0.4983314794215795, 'side pain': 0.5283648498331479, 'lower body pain': 0.5027808676307007, 'groin pain': 0.4972191323692992, 'back cramps or spasms': 0.6763070077864294, 'back stiffness or tightness': 0.5061179087875417}",0.25
chronic constipation,"{'retention of urine': 0.6527929901423878, 'blood in stool': 0.5027382256297919, 'sharp abdominal pain': 0.4939759036144578, 'vomiting': 0.5180722891566265, 'nausea': 0.4961664841182913, 'lower abdominal pain': 0.5290251916757941, 'pain of the anus': 0.511500547645126, 'burning abdominal pain': 0.4950711938663746, 'changes in stool appearance': 0.5005476451259584, 'rectal bleeding': 0.5060240963855421, 'constipation': 0.5169769989047097}",0.1
chronic glaucoma,"{'white discharge from eye': 0.6541916167664671, 'diminished vision': 0.5029940119760479, 'symptoms of eye': 0.497005988023952, 'pain in eye': 0.5134730538922155, 'foreign body sensation in eye': 0.4775449101796407, 'spots or clouds in vision': 0.5194610778443114, 'lacrimation': 0.4880239520958084, 'itchiness of eye': 0.6826347305389222, 'eye burns or stings': 0.4880239520958084, 'mass on eyelid': 0.4940119760479042}",0.01
chronic inflammatory demyelinating polyneuropathy (cidp),"{'dizziness': 1.0, 'problems with movement': 0.8333333333333334, 'weakness': 0.6111111111111112, 'loss of sensation': 0.6111111111111112}",0.001
chronic kidney disease,"{'shortness of breath': 0.4, 'peripheral edema': 0.6, 'feeling cold': 0.7, 'fatigue': 0.8, 'symptoms of the kidneys': 0.5}",0.1
chronic knee pain,"{'leg pain': 0.56, 'hip pain': 0.4666666666666667, 'back pain': 0.56, 'knee pain': 0.5666666666666667, 'knee weakness': 0.52, 'knee swelling': 0.5333333333333333, 'knee stiffness or tightness': 0.48, 'leg swelling': 0.5066666666666667, 'joint pain': 0.4333333333333333}",0.2
chronic obstructive pulmonary disease (copd),"{'shortness of breath': 0.4856512141280353, 'sharp chest pain': 0.6931567328918322, 'chest tightness': 0.4834437086092715, 'sore throat': 0.4966887417218543, 'cough': 0.5253863134657837, 'nasal congestion': 0.5209713024282561, 'wheezing': 0.5187637969094923, 'fever': 0.4977924944812362, 'coughing up sputum': 0.5264900662251656, 'coryza': 0.5331125827814569, 'congestion in chest': 0.5011037527593819}",0.03
chronic otitis media,"{'cough': 0.6606875934230194, 'nasal congestion': 0.5112107623318386, 'ear pain': 0.5007473841554559, 'plugged feeling in ear': 0.5007473841554559, 'fluid in ear': 0.4887892376681614, 'fever': 0.5351270553064275, 'allergic reaction': 0.5037369207772795, 'pulling at ears': 0.5097159940209267, 'redness in ear': 0.5037369207772795, 'painful sinuses': 0.6472346786248132}",0.1
chronic pain disorder,"{'leg pain': 0.6646971935007385, 'hip pain': 0.4948301329394387, 'sharp abdominal pain': 0.4903988183161004, 'headache': 0.5022156573116692, 'back pain': 0.51698670605613, 'low back pain': 0.5361890694239291, 'pelvic pain': 0.6676514032496307, 'knee pain': 0.5081240768094535, 'shoulder pain': 0.4800590841949778, 'ache all over': 0.5332348596750369}",0.1
chronic pancreatitis,"{'abusing alcohol': 0.5454545454545454, 'sharp abdominal pain': 0.531986531986532, 'vomiting': 0.5555555555555556, 'nausea': 0.5892255892255892, 'diarrhea': 0.7070707070707071, 'skin growth': 0.7441077441077442, 'back pain': 0.7171717171717171, 'ache all over': 0.531986531986532}",0.005
chronic rheumatic fever,"{'shortness of breath': 0.4733727810650887, 'sharp chest pain': 0.4970414201183432, 'dizziness': 0.6686390532544378, 'chest tightness': 0.5502958579881657, 'palpitations': 0.5088757396449705, 'throat feels tight': 0.8698224852071006, 'increased heart rate': 0.4970414201183432}",0.001
chronic sinusitis,"{'sore throat': 0.5068493150684932, 'cough': 0.6971080669710806, 'headache': 0.5235920852359208, 'facial pain': 0.4961948249619482, 'ear pain': 0.6636225266362252, 'frontal headache': 0.5114155251141552, 'fever': 0.4946727549467275, 'congestion in chest': 0.5205479452054794, 'sinus congestion': 0.5083713850837138, 'painful sinuses': 0.5235920852359208}",0.15
chronic ulcer,"{'skin lesion': 1.0, 'skin pain': 1.0}",0.01
cirrhosis,"{'shortness of breath': 0.5468277945619335, 'blood in stool': 0.7069486404833837, 'sharp abdominal pain': 0.4984894259818731, 'vomiting blood': 0.7673716012084593, 'regurgitation': 0.5166163141993958, 'peripheral edema': 0.5468277945619335, 'upper abdominal pain': 0.6948640483383686, 'abdominal distention': 0.552870090634441, 'regurgitation.1': 0.5166163141993958}",0.01
coagulation (bleeding) disorder,"{'leg pain': 0.5, 'blood in urine': 0.8, 'knee swelling': 0.7111111111111111, 'eye redness': 0.4777777777777778, 'melena': 0.7333333333333333}",0.01
cold sore,"{'sore throat': 0.546875, 'skin swelling': 0.8385416666666666, 'vaginal itching': 0.4791666666666667, 'lip swelling': 0.7239583333333334, 'mouth ulcer': 0.71875, 'skin rash': 0.5520833333333334, 'lip sore': 0.5104166666666666}",0.1
colonic polyp,"{'blood in stool': 0.5221238938053098, 'flatulence': 0.7905604719764012, 'sharp abdominal pain': 0.696165191740413, 'diarrhea': 0.5221238938053098, 'pain of the anus': 0.6637168141592921, 'heartburn': 0.5073746312684366, 'upper abdominal pain': 0.471976401179941, 'rectal bleeding': 0.5073746312684366}",0.02
colorectal cancer,"{'blood in stool': 0.6, 'sharp abdominal pain': 0.5333333333333333, 'pain of the anus': 0.4666666666666667, 'rectal bleeding': 0.7333333333333333, 'mass or swelling around the anus': 0.4666666666666667, 'drainage in throat': 0.2666666666666666}",0.003
common cold,"{'sore throat': 0.4839779005524862, 'cough': 0.518232044198895, 'nasal congestion': 0.4950276243093923, 'vomiting': 0.512707182320442, 'headache': 0.5314917127071823, 'wheezing': 0.512707182320442, 'ear pain': 0.5281767955801105, 'fever': 0.5116022099447514, 'chills': 0.6596685082872928, 'coryza': 0.5049723756906077, 'flu-like syndrome': 0.5082872928176796}",0.5
complex regional pain syndrome,"{'abnormal involuntary movements': 0.4889071487263763, 'leg pain': 0.5061626951520132, 'hand or finger pain': 0.5012325390304027, 'arm pain': 0.5061626951520132, 'back pain': 0.533278553820871, 'neck pain': 0.5193097781429745, 'low back pain': 0.4921939194741166, 'foot or toe pain': 0.5201314708299096, 'problems with movement': 0.4823336072308956, 'loss of sensation': 0.4897288414133114, 'paresthesia': 0.5012325390304027, 'ache all over': 0.485620377978636}",0.002
concussion,"{'dizziness': 0.4962216624685138, 'difficulty speaking': 0.4970612930310663, 'vomiting': 0.5029387069689337, 'headache': 0.5188916876574308, 'nausea': 0.5281276238455079, 'facial pain': 0.5054575986565911, 'double vision': 0.5088161209068011, 'back pain': 0.5079764903442485, 'neck pain': 0.5029387069689337, 'disturbance of memory': 0.5130142737195634, 'rib pain': 0.5037783375314862, 'sleepiness': 0.5054575986565911}",0.02
conduct disorder,"{'depression': 0.4860088365243004, 'depressive or psychotic symptoms': 0.5095729013254786, 'lack of growth': 0.6642120765832106, 'abusing alcohol': 0.6759941089837997, 'fainting': 0.4668630338733431, 'hostile behavior': 0.5287187039764359, 'excessive anger': 0.5051546391752577, 'seizures': 0.5051546391752577, 'temper problems': 0.5213549337260678, 'hysterical behavior': 0.4830633284241531}",0.01
conductive hearing loss,"{'dizziness': 0.459866220735786, 'hoarse voice': 0.7324414715719063, 'difficulty speaking': 0.5133779264214047, 'diminished hearing': 0.5133779264214047, 'ear pain': 0.5317725752508361, 'ringing in ear': 0.4899665551839465, 'plugged feeling in ear': 0.5317725752508361, 'fluid in ear': 0.4882943143812709, 'redness in ear': 0.5033444816053512, 'low self-esteem': 0.520066889632107}",0.1
congenital heart defect,"{'sharp chest pain': 0.5555555555555556, 'lack of growth': 0.7222222222222222, 'arm swelling': 0.7777777777777778, 'hand or finger stiffness or tightness': 0.9166666666666666}",0.005
congenital malformation syndrome,"{'diminished hearing': 1.0, 'lack of growth': 0.6153846153846154, 'seizures': 0.7692307692307693, 'gum pain': 0.3846153846153846}",0.002
conjunctivitis,"{'sore throat': 0.6578657865786579, 'cough': 0.5126512651265126, 'nasal congestion': 0.4994499449944994, 'white discharge from eye': 0.4994499449944994, 'pain in eye': 0.5434543454345434, 'eye redness': 0.5192519251925193, 'lacrimation': 0.4961496149614962, 'itchiness of eye': 0.5082508250825083, 'fever': 0.504950495049505, 'coryza': 0.528052805280528, 'swollen eye': 0.5258525852585259}",0.1
